content,date
"EU co-legislators reach provisional deal on net zero industry act. The European Commission, European Parliament, and Council of EU states reached a provisional political agreement on Tuesday to produce 40% of the bloc’s annual needs for net zero technologies domestically by 2030, defining a list of strategic and clean manufactures on which to focus.",7-February-2024 
"EU Commission plans for 280 Mt of annual carbon capture by 2040. Reducing the EU’s emissions by 90% by 2040 will call for around 280 million tonnes of CO2 to be captured, the European Commission said on Tuesday in its first, long-awaited strategy for capturing, transporting, trading, permanently storing, and using carbon. ",7-February-2024 
"Brussels backs off agriculture emissions cuts in recommended 90% target for 2040. The European Commission on Tuesday recommended that the EU aim to cut emissions by 90% by 2040, but backed away from contentious measures to decarbonise agriculture, as farmers protested on the doorstep of the European Parliament building where the announcement was made.",7-February-2024 
"Euro Markets: EUAs gain amid see-saw trend around key technical levels as market eyes auction gap. European carbon allowance prices made robust gains on Tuesday after the market reacted sharply to the day’s auction, clearing recent psychological and technical levels as traders anticipated the first gap of the year in the programme of daily EUA sales as well as weekly Commitment of Traders data.",7-February-2024 
"Germany moves again to prop up steel transition amid global competition, protectionism debate. The German government has pledged €1.3 billion to support a large steelmaker with its emissions reductions efforts, as climate transition risk and high costs continue to prompt EU member states to confront challenges with keeping heavy industry afloat.",7-February-2024 
"Vattenfall reports drop in ETS-covered fossil generation in 2023. Swedish state-owned utility Vattenfall reported a significant drop in generation from ETS-covered fossil power in 2023 in annual results on Tuesday, as well as a fall in profit due to sliding electricity prices during what it described as a “turbulent” year.",6-February-2024 
"Europe’s new solar power generation capacity to outshine other sources in 2024. Solar photovoltaic capacity across Europe will rise more than any other power generation source due to major additions planned for this year, analysts forecast, potentially displacing demand for carbon permits.",6-February-2024 
"PREVIEW: Brussels set to recommend emissions targets for 2040. The European Commission will on Tuesday present what is likely to be the last substantial climate action proposals before the European elections, tackling tough questions about how to decarbonise the hardest-to-abate sectors and get on track for net zero emissions by 2050.",6-February-2024 
"FEATURE: Shipping emissions calculations, contracts, risk affect EU ETS cost pass-through. New carbon surcharges attached to shipping fees for charterers and downstream customers reflect not only EUA prices and emissions data, but also methodological decisions, contract types, and risk management, experts have told Carbon Pulse.",6-February-2024 
"Germany set to tender for new hydrogen-ready gas-fired power plants. Germany will hold capacity auctions for gas-fired power plants that can be switched to hydrogen fuel in the 2030s, as part of a power plant strategy announced by the coalition government on Monday.",5-February-2024 
"Euro Markets: EUAs struggle for direction, ease lower under gas pressure, ahead of key EU climate meeting. European carbon allowance prices were said to be “wandering” on Monday, with the daily spot auction clearing in line with benchmark futures prices, gas easing lower, and traders awaiting the outcome of a key EU policy meeting on Tuesday on the bloc’s 2040 emissions reduction target.",5-February-2024 
European Greens call for climate neutrality by 2040 in election manifesto. The European Greens will push for full climate neutrality by 2040 – 10 years earlier than the bloc is aiming for – in an election manifesto adopted on Sunday.,5-February-2024 
"Euro Markets: EUAs post second inconclusive week as prices rally to technical level after weak auction. European carbon prices shook off the weakest German auction of the year to climb back above a key technical level that has acted as a fulcrum for the market for the last two weeks, and posted a second inconclusive weekly candlestick, while energy markets were little changed amid opposing pressures.",3-February-2024 
"No new climate funding in revised EU budget. The EU’s 27 leaders managed to agree on the bloc’s budget for the next four years on Thursday, with funding secured for Ukraine and migration but no fresh financing for net zero industry.",2-February-2024 
"Euro Markets: EUAs fall back after weak auction triggers selling, UKAs post 15% gain since recent record low. European carbon prices slumped below key psychological and technical support levels after the weakest auction interest in 10 months led to the largest discount of the year so far and triggered steady selling pressure, while UK Allowance prices rose for a third day as the British market posted a 15% recovery from Monday’s record intraday low.",2-February-2024 
"INTERVIEW: Better to include industrial carbon removals, not land-based, in EU ETS, says chair of EU’s scientific advisory board. Including land-based carbon removals in the EU ETS may not be a good idea, but credible industrial carbon removals should be incorporated post-2030 to deal with residual emissions from hard-to-abate industries, according to the chair of the scientific board advising the EU on climate change.",2-February-2024 
"IMO “more and more confident” of agreement on pricing mechanism for shipping -briefing. The newly appointed secretary general of the International Maritime Organisation is increasingly confident that an agreement will be reached on the technical measures and pricing mechanism to implement under its GHG strategy, he told a press briefing on Thursday.",1-February-2024 
"Farmer protests across Europe highlight challenge of tackling agricultural emissions. European farmers protested in Brussels for the third day in a row on Thursday calling for a redistribution of the budget, with climate and sustainability policy also a strong driver behind the backlash, as EU leaders headed to the city for a special economy-focused summit.",1-February-2024 
Brussels prepares to define permanent carbon storage under ETS rules. The European Commission is working to tweak EU ETS rules within the coming months to define the projects that can permanently store greenhouse gases – an option which companies may seize upon as a way to purchase fewer carbon allowances. ,1-February-2024 
"Euro Markets: EUAs post biggest monthly fall in four years as position data shows little weekly change. European carbon prices lost the most value in a single month in nearly four years, and also recorded their worst January performance in eight years, even as the market tested higher technical levels and weekly position data showed very little change in investment funds’ positioning after prices had moved just 0.1% last week.",1-February-2024 
"ANALYSIS: EU states plan policy changes to meet bloc’s 2030 emissions targets. Seven EU states are pinning their hopes on new climate policies to help get them on track to meet the bloc’s emissions reduction target of 55%, which they are currently projected to miss, their officials have told Carbon Pulse.",1-February-2024 
"Ukrainian environment minister confirms launch of ETS in 2025. Ukraine is planning to launch a national ETS in pilot mode in 2025, the country’s environment minister announced at an environmental forum in Kyiv on Wednesday.",1-February-2024 
"EU shipping companies can now apply for their own EUA holding account. Shipping companies will now be able open their holding accounts for EUAs, which they have been waiting for to start hedging and meeting their EU ETS requirements, following the publication of a legal act by the European Commission on Wednesday.",31-January-2024 
"UK urged to emulate US, EU green deals to spur clean industrialisation. A UK Labour government would work to emulate green deal policies in the US and EU to unlock private low-carbon investments in areas such as grid connectivity, housing, and infrastructure, the opposition party’s shadow climate change minister said on Wednesday.",31-January-2024 
"EU adopts harmonised rules for ETS free allocations, cement benchmarks mostly unchanged. The European Commission adopted new rules on Tuesday to harmonise the free allocation of emission allowances under the EU Emissions Trading System, although the cement sector remains mostly untouched.",31-January-2024 
"Euro Markets: Afternoon gas-driven rally on EUAs breaches key level, wipes out Monday’s losses. European carbon allowances broke out of a relatively narrow range on Tuesday afternoon and breached a recent key level as gas prices jumped, after the market had earlier appeared to be seeking renewed direction, while some short-positioned speculative traders were thought to be quietly covering some of their positions.",31-January-2024 
"FEATURE: Cruise industry sails to greener horizons, driven by carbon pricing pressure. The growth in carbon pricing mechanisms faced by the maritime sector will help to further incentivise the cruise industry to decarbonise its fleet, though doing so requires the scale-up of low-carbon fuels and port electrification, which are still at relatively low levels.",31-January-2024 
"EUAs at risk of extending decline but price seen as “good entry point” for compliance –analysts. EU carbon prices may extend current losses across the rest of 2024 but the current downturn presents a good entry point for sectors that are naturally short of allowances such as industrials, airlines, and shippers, while UKAs are currently a “bargain”, according to analysts from a bank.",31-January-2024 
"NGOs urge EU to propose fossil fuel phaseout dates in its 2040 emissions targets. NGOs have urged the EU to stay true to the agreement reached at COP28 last month and set clear fossil fuel phaseout dates as part of its forthcoming communication on 2040 emissions target, in a letter sent to the European Commission on Tuesday.",30-January-2024 
"EU needs to invest €40 trillion by 2050 to reach green goals -report. The European Union needs to invest €40 trillion by 2050 in order to reach net zero emissions while remaining globally competitive in line with the bloc’s strategic autonomy agenda, according to a new report.",30-January-2024 
"EU politicians shift focus to winning popular support for climate policies after backlash. Members of the European Parliament across political groups were in rare agreement on Monday about the need to keep people and industry on board while the bloc tries to reach climate neutrality, in what will likely be the main focus for climate policy in the EU’s next political term.",30-January-2024 
"EU extends first CBAM deadline for companies impacted by registry tech issues. Companies currently facing difficulties in submitting data for the first reporting deadline of the EU’s Carbon Border Adjustment Mechanism (CBAM) due to technical issues with the registry will benefit from a one month extension, the European Commission said on Monday.",30-January-2024 
"Euro Markets: EUAs settle at 22-month low after afternoon drop, UKAs set new record. European carbon prices dropped sharply in afternoon trading on Monday, posting their weakest settlement in 22 months after some speculative buying and a recent key support level melted away, while demand from utilities remained sluggish amid negative generation margins, and UK allowance prices fell to a new record low.",30-January-2024 
"VCM Report: Carbon credit prices edge lower, cookstoves shrug off bad press. A few big ticket bids kept interest alive in the voluntary carbon market last week that generally edged lower amid thin liquidity, bashed by another bout of bad press.",30-January-2024 
"EU carbon management strategy must set concrete actions for CCS -trade group. The EU’s upcoming industrial carbon management strategy needs to call for concrete actions by member states, not just analysis, an EU carbon capture and storage (CCS) association has said in a letter to European Commission President Ursula von der Leyen.",30-January-2024 
"European demand driving $1 trillion investment in gas production over next decade -report. The fossil fuel industry is forecast to spend more than $1 trillion globally over the next decade on producing gas for European markets, including investing in new extraction, despite warnings from climate scientists and policy advisers, according to a report published on Monday.",29-January-2024 
"London insurer offers product to derisk carbon capture and storage expansion. A London-headquartered insurance firm has launched a novel product covering the leakage of CO2 from commercial-scale carbon capture and storage (CCS) facilities, also derisking related carbon credit and compliance permit purchases. ",29-January-2024 
"Deep learning enhances EU carbon price forecasting, researchers find. Researchers have developed a new approach to forecasting EU carbon prices, using advanced deep learning techniques to generate what they believe will be more accurate short-term predictions.",28-January-2024 
"Euro Markets: EUAs post marginal weekly decline after late gas-driven surge erases earlier losses. European carbon allowance prices posted a marginal loss for the week after a late gas-driven rise in prices wiped out earlier losses on Friday, after the market had been poised to record a bigger five-day decline despite a strong auction result.",27-January-2024 
"Axis and allies: Researchers map countries likely to support, oppose EU’s CBAM. Researchers have identified the countries most likely to the support the EU’s Carbon Border Adjustment Mechanism (CBAM), and therefore which governments are most willing to accept it amid an objective of securing the policy’s survival and broader adoption globally.",27-January-2024 
"EU nations call for ambitious 2040 climate targets in joint letter. The European Union’s executive body, the Commission, should recommend an ambitious climate target for 2040, said the ministers of 11 member states on Friday, following a leak of the draft proposal seen by Carbon Pulse.",27-January-2024 
"Companies unable to comply with EU carbon border policy due to tech issues. Companies that must comply with the EU’s carbon border adjustment mechanism are facing difficulties in submitting their reports less than a week before the first reporting deadline, multiple national EU registries have said.",27-January-2024 
"Nature scientist at “wit’s end” with arguments against plant-based farming. A nature scientist clashed with a farming industry representative about how agriculture should address biodiversity loss, during an Ireland-focused webinar.",26-January-2024 
"Ratings agency cuts EUA forecast but sees full 2024 recovery from price drop. Analysts at a major ratings agency have cut their outlook for EU carbon prices, following other experts in tempering their expectations amid a confluence of bearish factors but differing in their anticipation of a full recovery later this year.",26-January-2024 
"Euro Markets: Buyers fade away and aggressive selling returns to push EUAs down 4%. European carbon prices fell back 4% on Thursday as the surge of buying interest that had driven prices back above €65.00 in midweek dried up and aggressive selling returned, though robust defence emerged late in the day to prevent further falls.",26-January-2024 
"LEAK: EU to include carbon removals in 90% 2040 climate target communication. The European Commission will include carbon removals in its recommended goal to reduce net greenhouse gas emissions by 90% by 2040 compared to 1990 levels, according to a leaked draft seen by Carbon Pulse on Thursday.",25-January-2024 
"Brussels awards €600 mln to carbon and energy infrastructure projects. The European Commission has handed out nearly €600 million to eight cross-border energy infrastructure projects, including several for CO2 management, it announced on Thursday.",25-January-2024 
"POLL: Analysts lower UKA price forecasts, as market poised for 2024 oversupply. Analysts have dropped their outlook for benchmark permit prices in the UK carbon market in 2024, citing oversupply, policy uncertainty, and expectations that a wide discount to EUAs will remain a characteristic of the British scheme.",25-January-2024 
